alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
번역ㆍ통역, 6050,외교관,233,통역가,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복사ㆍ출력ㆍ제본, 6055,사무보조원,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편집ㆍ교정ㆍ교열, 6060,속기사,459,편집기사,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공공기관ㆍ공기업ㆍ협회, 6070,행정부고위공무원,1278,사회복지사,379,보육교사,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학교ㆍ도서관ㆍ교육기관, 6080,장학사,1102,독서지도사,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고객상담ㆍ인바운드, 7010,고객관리시스템(CRM)전문가,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
텔레마케팅ㆍ아웃바운드, 7020,전화교환원,404,텔레마케터,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금융ㆍ보험영업, 7025,금융자산운용가(펀드매니저),244,투자분석가(애널리스트),950,보험계리인,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일반영업ㆍ판매, 7030,영업원,928,생활설계사,222,쇼핑호스트,178,방문판매원,1113,아이티(IT)기술영업원,474,자동차영업원,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
설문조사ㆍ리서치, 7040,설문조사원,165,신용조사원,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영업관리ㆍ지원, 7050,경영컨설턴트,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제조ㆍ가공ㆍ조립, 8020,단순노무자,126,공구제조원,1135,가구조립 및 검사원,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포장ㆍ품질검사, 8040,가구조립 및 검사원,1152,포장원,1153,건설공사품질관리원,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출고ㆍ창고관리, 8050,물류관리사,215,지게차운전원,1111,포장원,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상하차ㆍ소화물 분류, 8056,단순노무자,126,택배원,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기계ㆍ전자ㆍ전기, 8065,전기 부품 및 제품 생산직,1146,전기공학기술자,114,전자 부품 및 제품 생산직,1087,전자공학기술자,119,기계공학 기술자ㆍ연구원,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정비ㆍ수리ㆍ설치ㆍA/S, 8075,전기설비조작원,1145,전공,113,목공,68,전자장비설치 및 수리원,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공사ㆍ건설현장, 8085,건축공학기술자,46,건설기계운전원,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVC(닥트ㆍ배관설치), 8095,배관원,74,건축공학기술자,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선소, 8100,조선공학기술자,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재단ㆍ재봉, 8110,양장사 및 양복사,164,한복사,175,제화원,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생산ㆍ건설ㆍ노무 기타, 8990,단순노무자,126,석공,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웹ㆍ모바일기획, 9005,웹프로듀서,1096,웹마스터,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사이트ㆍ콘텐츠 운영, 9010,웹마스터,444,아이티(IT)기술영업원,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바이럴ㆍSNS마케팅, 9016,마케팅전문가,1068,아이티(IT)기술영업원,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로그래머, 9060,웹프로듀서,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTML코딩, 9061,웹디자이너,443,웹프로듀서,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAㆍ테스터ㆍ검증, 9063,베타테스터,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
